crop,region,month,price_php_per_kg
Tomato,Luzon-North,2022-01,55.82
Tomato,Luzon-Central,2022-01,52.08
Tomato,Luzon-South,2022-01,55.18
Tomato,Visayas,2022-01,58.05
Tomato,Mindanao,2022-01,48.61
Tomato,Luzon-North,2022-02,55.35
Tomato,Luzon-Central,2022-02,56.53
Tomato,Luzon-South,2022-02,56.52
Tomato,Visayas,2022-02,57.75
Tomato,Mindanao,2022-02,52.58
Tomato,Luzon-North,2022-03,54.65
Tomato,Luzon-Central,2022-03,51.81
Tomato,Luzon-South,2022-03,53.75
Tomato,Visayas,2022-03,57.9
Tomato,Mindanao,2022-03,51.67
Tomato,Luzon-North,2022-04,49.73
Tomato,Luzon-Central,2022-04,50.01
Tomato,Luzon-South,2022-04,50.66
Tomato,Visayas,2022-04,53.87
Tomato,Mindanao,2022-04,45.02
Tomato,Luzon-North,2022-05,53.96
Tomato,Luzon-Central,2022-05,49.09
Tomato,Luzon-South,2022-05,58.11
Tomato,Visayas,2022-05,59.43
Tomato,Mindanao,2022-05,50.3
Tomato,Luzon-North,2022-06,49.84
Tomato,Luzon-Central,2022-06,53.26
Tomato,Luzon-South,2022-06,59.72
Tomato,Visayas,2022-06,61.93
Tomato,Mindanao,2022-06,48.97
Tomato,Luzon-North,2022-07,57.48
Tomato,Luzon-Central,2022-07,53.76
Tomato,Luzon-South,2022-07,59.33
Tomato,Visayas,2022-07,66.97
Tomato,Mindanao,2022-07,52.55
Tomato,Luzon-North,2022-08,61.8
Tomato,Luzon-Central,2022-08,62.05
Tomato,Luzon-South,2022-08,63.09
Tomato,Visayas,2022-08,66.47
Tomato,Mindanao,2022-08,57.88
Tomato,Luzon-North,2022-09,63.43
Tomato,Luzon-Central,2022-09,56.98
Tomato,Luzon-South,2022-09,66.65
Tomato,Visayas,2022-09,72.93
Tomato,Mindanao,2022-09,54.26
Tomato,Luzon-North,2022-10,63.8
Tomato,Luzon-Central,2022-10,59.07
Tomato,Luzon-South,2022-10,62.17
Tomato,Visayas,2022-10,72.67
Tomato,Mindanao,2022-10,59.06
Tomato,Luzon-North,2022-11,54.49
Tomato,Luzon-Central,2022-11,55.85
Tomato,Luzon-South,2022-11,62.62
Tomato,Visayas,2022-11,62.01
Tomato,Mindanao,2022-11,55.75
Tomato,Luzon-North,2022-12,56.82
Tomato,Luzon-Central,2022-12,56.56
Tomato,Luzon-South,2022-12,64.17
Tomato,Visayas,2022-12,59.49
Tomato,Mindanao,2022-12,53.56
Tomato,Luzon-North,2023-01,55.88
Tomato,Luzon-Central,2023-01,55.26
Tomato,Luzon-South,2023-01,56.5
Tomato,Visayas,2023-01,59.99
Tomato,Mindanao,2023-01,52.68
Tomato,Luzon-North,2023-02,59.97
Tomato,Luzon-Central,2023-02,58.25
Tomato,Luzon-South,2023-02,56.28
Tomato,Visayas,2023-02,59.52
Tomato,Mindanao,2023-02,55.1
Tomato,Luzon-North,2023-03,50.28
Tomato,Luzon-Central,2023-03,52.36
Tomato,Luzon-South,2023-03,58.35
Tomato,Visayas,2023-03,64.1
Tomato,Mindanao,2023-03,53.72
Tomato,Luzon-North,2023-04,54.54
Tomato,Luzon-Central,2023-04,52.25
Tomato,Luzon-South,2023-04,57.49
Tomato,Visayas,2023-04,64.45
Tomato,Mindanao,2023-04,50.46
Tomato,Luzon-North,2023-05,55.92
Tomato,Luzon-Central,2023-05,55.48
Tomato,Luzon-South,2023-05,59.27
Tomato,Visayas,2023-05,60.73
Tomato,Mindanao,2023-05,49.87
Tomato,Luzon-North,2023-06,59.27
Tomato,Luzon-Central,2023-06,55.67
Tomato,Luzon-South,2023-06,65.9
Tomato,Visayas,2023-06,66.14
